weekday,date,month,week,sampling,temperature,resources,salt
Mon,07.Nov.22,1,1,1,18,0.52,0
Wed,09.Nov.22,1,1,2,18,0.52,0
Fri,11.Nov.22,1,1,3,18,0.52,0
Mon,14.Nov.22,1,2,4,18,0.52,0
Wed,16.Nov.22,1,2,5,18,0.52,0
Fri,18.Nov.22,1,2,6,18,0.52,0
Mon,21.Nov.22,1,3,7,18,0.52,0
Wed,23.Nov.22,1,3,8,18,0.52,0
Fri,25.Nov.22,1,3,9,18,0.52,0
Mon,28.Nov.22,1,4,10,18,0.52,0
Wed,30.Nov.22,1,4,11,18,0.52,0
Fri,02.Dec.22,1,4,12,18,0.52,0
Mon,05.Dec.22,2,5,13,18,0.52,0
Wed,07.Dec.22,2,5,14,18,0.52,0
Fri,09.Dec.22,2,5,15,18,0.52,0
Mon,12.Dec.22,2,6,16,18,0.52,0
Wed,14.Dec.22,2,6,17,18,0.52,0
Fri,16.Dec.22,2,6,18,18,0.52,0
Mon,19.Dec.22,2,7,19,18,0.52,0
Wed,21.Dec.22,2,7,20,18,0.52,0
Fri,23.Dec.22,2,7,21,18,0.52,0
Mon,26.Dec.22,2,8,22,18,0.52,0
Wed,28.Dec.22,2,8,23,18,0.52,0
Fri,30.Dec.22,2,8,24,18,0.52,0
Mon,02.Jan.23,3,9,25,18,0.52,0
Wed,04.Jan.23,3,9,26,18,0.52,0
Fri,06.Jan.23,3,9,27,18,0.52,0
Mon,09.Jan.23,3,10,28,18,0.52,0
Wed,11.Jan.23,3,10,29,18,0.52,0
Fri,13.Jan.23,3,10,30,18,0.52,0
Mon,16.Jan.23,3,11,31,18.8,0.60,0.07
Wed,18.Jan.23,3,11,32,18.8,0.68,0.14
Fri,20.Jan.23,3,11,33,18.8,0.76,0.21
Mon,23.Jan.23,3,12,34,19.7,0.83,0.28
Wed,25.Jan.23,3,12,35,19.7,0.90,0.35
Fri,27.Jan.23,3,12,36,19.7,0.97,0.42
Mon,30.Jan.23,4,13,37,20.5,1.03,0.50
Wed,01.Feb.23,4,13,38,20.5,1.09,0.57
Fri,03.Feb.23,4,13,39,20.5,1.14,0.64
Mon,06.Feb.23,4,14,40,21.3,1.19,0.71
Wed,08.Feb.23,4,14,41,21.3,1.24,0.78
Fri,10.Feb.23,4,14,42,21.3,1.29,0.85
Mon,13.Feb.23,4,15,43,22.2,1.38,0.92
Wed,15.Feb.23,4,15,44,22.2,1.45,0.99
Fri,17.Feb.23,4,15,45,22.2,1.53,1.06
Mon,20.Feb.23,4,16,46,23.0,1.60,1.13
Wed,22.Feb.23,4,16,47,23.0,1.67,1.20
Fri,24.Feb.23,4,16,48,23.0,1.73,1.27
Mon,27.Feb.23,5,17,49,23.8,1.80,1.34
Wed,01.Mar.23,5,17,50,23.8,1.85,1.41
Fri,03.Mar.23,5,17,51,23.8,1.91,1.48
Mon,06.Mar.23,5,18,52,24.7,1.96,1.55
Wed,08.Mar.23,5,18,53,24.7,2.01,1.62
Fri,10.Mar.23,5,18,54,24.7,2.06,1.68
Mon,13.Mar.23,5,19,55,25.5,2.14,1.75
Wed,15.Mar.23,5,19,56,25.5,2.22,1.82
Fri,17.Mar.23,5,19,57,25.5,2.30,1.89
Mon,20.Mar.23,5,20,58,26.3,2.37,1.96
Wed,22.Mar.23,5,20,59,26.3,2.43,2.03
Fri,24.Mar.23,5,20,60,26.3,2.50,2.10
Mon,27.Mar.23,6,21,61,27.2,2.56,2.17
Wed,29.Mar.23,6,21,62,27.2,2.62,2.24
Fri,31.Mar.23,6,21,63,27.2,2.67,2.31
Mon,03.Apr.23,6,22,64,28.0,2.73,2.37
Wed,05.Apr.23,6,22,65,28.0,2.78,2.44
Fri,07.Apr.23,6,22,66,28.0,2.82,2.51
Mon,10.Apr.23,6,23,67,28,2.82,2.51
Wed,12.Apr.23,6,23,68,28,2.82,2.51
Fri,14.Apr.23,6,23,69,28,2.82,2.51
Mon,17.Apr.23,6,24,70,28,2.82,2.51
Wed,19.Apr.23,6,24,71,28,2.82,2.51
Fri,21.Apr.23,6,24,72,28,2.82,2.51
Mon,24.Apr.23,7,25,73,28,2.82,2.51
Wed,26.Apr.23,7,25,74,28,2.82,2.51
Fri,28.Apr.23,7,25,75,28,2.82,2.51
Mon,01.May.23,7,26,76,28,2.82,2.51
Wed,03.May.23,7,26,77,28,2.82,2.51
Fri,05.May.23,7,26,78,28,2.82,2.51
Mon,08.May.23,7,27,79,28,2.82,2.51
Wed,10.May.23,7,27,80,28,2.82,2.51
Fri,12.May.23,7,27,81,28,2.82,2.51
Mon,15.May.23,7,28,82,28,2.82,2.51
Wed,17.May.23,7,28,83,28,2.82,2.51
Fri,19.May.23,7,28,84,28,2.82,2.51
Mon,22.May.23,8,29,85,28,2.82,2.51
Wed,24.May.23,8,29,86,28,2.82,2.51
Fri,26.May.23,8,29,87,28,2.82,2.51
Mon,29.May.23,8,30,88,28,2.82,2.51
Wed,31.May.23,8,30,89,28,2.82,2.51
Fri,02.Jun.23,8,30,90,28,2.82,2.51
Mon,05.Jun.23,8,31,91,28,2.82,2.51
Wed,07.Jun.23,8,31,92,28,2.82,2.51
Fri,09.Jun.23,8,31,93,28,2.82,2.51
Mon,12.Jun.23,8,32,94,28,2.82,2.51
Wed,14.Jun.23,8,32,95,28,2.82,2.51
Fri,16.Jun.23,8,32,96,28,2.82,2.51
Mon,19.Jun.23,9,33,97,28,2.82,2.51
Wed,21.Jun.23,9,33,98,28,2.82,2.51
Fri,23.Jun.23,9,33,99,28,2.82,2.51
Mon,26.Jun.23,9,34,100,28,2.82,2.51
Wed,28.Jun.23,9,34,101,28,2.82,2.51
Fri,30.Jun.23,9,34,102,28,2.82,2.51
Mon,03.Jul.23,9,35,103,28,2.82,2.51
Wed,05.Jul.23,9,35,104,28,2.82,2.51
Fri,07.Jul.23,9,35,105,28,2.82,2.51
Mon,10.Jul.23,9,36,106,28,2.82,2.51
Wed,12.Jul.23,9,36,107,28,2.82,2.51
Fri,14.Jul.23,9,36,108,28,2.82,2.51
Mon,17.Jul.23,10,37,109,28,2.82,2.51
Wed,19.Jul.23,10,37,110,28,2.82,2.51
Fri,21.Jul.23,10,37,111,28,2.82,2.51
Mon,24.Jul.23,10,38,112,28,2.82,2.51
Wed,26.Jul.23,10,38,113,28,2.82,2.51
Fri,28.Jul.23,10,38,114,28,2.82,2.51
Mon,31.Jul.23,10,39,115,28,2.82,2.51
Wed,02.Aug.23,10,39,116,28,2.82,2.51
Fri,04.Aug.23,10,39,117,28,2.82,2.51
Mon,07.Aug.23,10,40,118,28,2.82,2.51
Wed,09.Aug.23,10,40,119,28,2.82,2.51
Fri,11.Aug.23,10,40,120,28,2.82,2.51